수요지 id,X,Y,초등학령인구
C115,126.6195048,37.4827824,16
C116,126.6205048,37.4487824,87
C117,126.6205048,37.4737824,2
C118,126.6205048,37.4767824,1
C119,126.6205048,37.4777824,1
C120,126.6205048,37.47878239999999,1
C121,126.6205048,37.4807824,2
C122,126.6205048,37.48178239999999,3
C123,126.6205048,37.4827824,3
C124,126.6215048,37.4767824,1
C125,126.6215048,37.4777824,1
C126,126.6215048,37.47878239999999,1
C127,126.6215048,37.4807824,3
C128,126.6215048,37.4857824,159
C129,126.6225048,37.4727824,3
C130,126.6225048,37.4797824,45
C131,126.6225048,37.4807824,6
C132,126.6225048,37.48178239999999,1
C133,126.6225048,37.4857824,1
C134,126.6225048,37.4867824,10
C135,126.6235048,37.4797824,9
C136,126.6235048,37.4807824,9
C137,126.6235048,37.48178239999999,3
C138,126.6245048,37.4467824,64
C139,126.6245048,37.4727824,6
C140,126.6245048,37.4797824,21
C141,126.6245048,37.4807824,25
C142,126.6245048,37.48178239999999,4
C143,126.6245048,37.48478239999999,12
C144,126.6255048,37.4727824,1
C145,126.6255048,37.4747824,3
C146,126.6255048,37.4757824,2
C147,126.6255048,37.4767824,2
C148,126.6255048,37.4797824,17
C149,126.6255048,37.4807824,10
C150,126.6255048,37.4827824,1
C151,126.6255048,37.4837824,2
C152,126.6255048,37.48478239999999,6
C153,126.6265048,37.4727824,14
C154,126.6265048,37.4757824,5
C155,126.6265048,37.47878239999999,10
C156,126.6265048,37.4797824,4
C157,126.6265048,37.4807824,12
C158,126.6265048,37.4827824,11
C159,126.6265048,37.4837824,7
C160,126.6265048,37.48478239999999,11
C161,126.6275048,37.4687824,1
C162,126.6275048,37.4727824,3
C163,126.6275048,37.4737824,5
C164,126.6275048,37.4747824,2
C165,126.6275048,37.4757824,1
C166,126.6275048,37.4767824,4
C167,126.6275048,37.47878239999999,24
C168,126.6275048,37.4797824,4
C169,126.6275048,37.4807824,46
C170,126.6275048,37.4837824,22
C171,126.6285048,37.4667824,4
C172,126.6285048,37.4677824,2
C173,126.6285048,37.4757824,10
C174,126.6285048,37.4777824,6
C175,126.6285048,37.47878239999999,3
C176,126.6285048,37.4807824,3
C177,126.6285048,37.4827824,45
C178,126.6295048,37.4657824,34
C179,126.6295048,37.4677824,9
C180,126.6295048,37.4687824,20
C181,126.6295048,37.4697824,22
C182,126.6295048,37.4717824,5
C183,126.6295048,37.4767824,24
C184,126.6295048,37.4777824,2
C185,126.6295048,37.47878239999999,1
C186,126.6295048,37.4807824,5
C187,126.6295048,37.48178239999999,4
C188,126.6295048,37.4827824,5
C189,126.6295048,37.4837824,9
C190,126.6295048,37.48478239999999,6
C191,126.6305048,37.4667824,38
C192,126.6305048,37.4677824,6
C193,126.6305048,37.4717824,3
C194,126.6305048,37.4727824,1
C195,126.6305048,37.4797824,2
C196,126.6305048,37.48178239999999,1
C197,126.6305048,37.4827824,4
C198,126.6305048,37.4837824,13
C199,126.6305048,37.48478239999999,2
C200,126.6305048,37.4857824,2
C201,126.6315048,37.4647824,37
C202,126.6315048,37.4667824,2
C203,126.6315048,37.4697824,2
C204,126.6315048,37.4707824,4
C205,126.6315048,37.4727824,4
C206,126.6315048,37.4797824,7
C207,126.6315048,37.4807824,4
C208,126.6315048,37.48478239999999,17
C209,126.6325048,37.4647824,54
C210,126.6325048,37.4657824,12
C211,126.6325048,37.4677824,1
C212,126.6325048,37.4687824,7
C213,126.6325048,37.4707824,16
C214,126.6325048,37.4717824,2
C215,126.6325048,37.4727824,2
C216,126.6325048,37.4797824,37
C217,126.6325048,37.4807824,4
C218,126.6325048,37.48478239999999,2
C219,126.6335048,37.4557824,166
C220,126.6335048,37.4657824,51
C221,126.6335048,37.4667824,3
C222,126.6335048,37.4677824,1
C223,126.6335048,37.4687824,33
C224,126.6335048,37.4697824,10
C225,126.6335048,37.4707824,25
C226,126.6335048,37.4717824,4
C227,126.6335048,37.4737824,2
C228,126.6335048,37.4777824,1
C229,126.6335048,37.4807824,1
C230,126.6335048,37.4837824,70
C231,126.6345048,37.4627824,18
C232,126.6345048,37.4677824,2
C233,126.6345048,37.4687824,40
C234,126.6345048,37.4697824,27
C235,126.6345048,37.4707824,9
C236,126.6345048,37.4717824,2
C237,126.6345048,37.4807824,55
C238,126.6355048,37.4627824,18
C239,126.6355048,37.4637824,5
C240,126.6355048,37.4687824,16
C241,126.6355048,37.4697824,16
C242,126.6355048,37.4797824,48
C243,126.6355048,37.48178239999999,142
C244,126.6365048,37.4657824,1
C245,126.6365048,37.4677824,27
C246,126.6375048,37.4627824,6
C247,126.6375048,37.4647824,4
C248,126.6375048,37.4667824,10
C249,126.6375048,37.4677824,2
C250,126.6375048,37.4757824,320
C251,126.6375048,37.47878239999999,339
C252,126.6375048,37.4807824,44
C253,126.6385048,37.4647824,29
C254,126.6385048,37.4657824,23
C255,126.6385048,37.4667824,14
C256,126.6385048,37.4677824,8
C257,126.6385048,37.4687824,14
C258,126.6385048,37.4717824,1
C259,126.6395048,37.4667824,6
C260,126.6395048,37.4677824,11
C261,126.6395048,37.4687824,26
C262,126.6395048,37.4747824,1
C263,126.6405048,37.4647824,6
C264,126.6405048,37.4677824,6
C265,126.6405048,37.4687824,5
C266,126.6405048,37.4727824,6
C267,126.6405048,37.4807824,14
C268,126.6415048,37.4677824,6
C269,126.6415048,37.4687824,1
C270,126.6415048,37.4697824,2
C271,126.6415048,37.4707824,2
C272,126.6415048,37.4717824,3
C273,126.6415048,37.4727824,3
C274,126.6415048,37.4737824,33
