학교 id,공급_X,공급_Y,수요지 id,수요_X,수요_Y,위도_범위,경도_범위,공장_개수
F1,126.54392107334832,37.46729212308389,C33,126.5075048,37.47878239999999,"[37.46729212308389, 37.47878239999999]","[126.5075048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C34,126.5075048,37.5137824,"[37.46729212308389, 37.5137824]","[126.5075048, 126.54392107334832]",2
F1,126.54392107334832,37.46729212308389,C35,126.5085048,37.48178239999999,"[37.46729212308389, 37.48178239999999]","[126.5085048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C36,126.5085048,37.4827824,"[37.46729212308389, 37.4827824]","[126.5085048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C37,126.5105048,37.5087824,"[37.46729212308389, 37.5087824]","[126.5105048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C38,126.5125048,37.5097824,"[37.46729212308389, 37.5097824]","[126.5125048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C39,126.5135048,37.4777824,"[37.46729212308389, 37.4777824]","[126.5135048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C40,126.5145048,37.5107824,"[37.46729212308389, 37.5107824]","[126.5145048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C41,126.5145048,37.5127824,"[37.46729212308389, 37.5127824]","[126.5145048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C42,126.5145048,37.5137824,"[37.46729212308389, 37.5137824]","[126.5145048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C43,126.5145048,37.5147824,"[37.46729212308389, 37.5147824]","[126.5145048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C44,126.5165048,37.5107824,"[37.46729212308389, 37.5107824]","[126.5165048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C45,126.5215048,37.5087824,"[37.46729212308389, 37.5087824]","[126.5215048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C46,126.5255048,37.5097824,"[37.46729212308389, 37.5097824]","[126.5255048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C47,126.5295048,37.5077824,"[37.46729212308389, 37.5077824]","[126.5295048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C48,126.5315048,37.4887824,"[37.46729212308389, 37.4887824]","[126.5315048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C49,126.5325048,37.5067824,"[37.46729212308389, 37.5067824]","[126.5325048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C50,126.5325048,37.5087824,"[37.46729212308389, 37.5087824]","[126.5325048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C51,126.5335048,37.5047824,"[37.46729212308389, 37.5047824]","[126.5335048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C52,126.5335048,37.5057824,"[37.46729212308389, 37.5057824]","[126.5335048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C53,126.5345048,37.5047824,"[37.46729212308389, 37.5047824]","[126.5345048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C54,126.5355048,37.48778239999999,"[37.46729212308389, 37.48778239999999]","[126.5355048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C55,126.5365048,37.4957824,"[37.46729212308389, 37.4957824]","[126.5365048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C56,126.5375048,37.49078239999999,"[37.46729212308389, 37.49078239999999]","[126.5375048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C57,126.5375048,37.4957824,"[37.46729212308389, 37.4957824]","[126.5375048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C58,126.5385048,37.4957824,"[37.46729212308389, 37.4957824]","[126.5385048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C59,126.5395048,37.49378239999999,"[37.46729212308389, 37.49378239999999]","[126.5395048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C60,126.5395048,37.4957824,"[37.46729212308389, 37.4957824]","[126.5395048, 126.54392107334832]",0
